plate,mjd,fiberid,specobjid,bestobjid,elodiervfinal,teffadop,fehadop,loggadop,teffspec,fehspec,psfmag_u,psfmag_g,psfmag_r,psfmag_i,psfmag_z,psfmagErr_u,psfmagErr_g,psfmagErr_r,psfmagErr_i,psfmagErr_z,ra,dec,u,g,r,i,z,specobjid1,class,subclass,z1,plate1,mjd1,fiberid1,elodieBV,elodieTEff,elodieLogG,elodieFeH,elodieZ,elodieZErr
3185,54829,16,3585995682357551104,1237649961380282496,0.6255128,5643.231,-0.9563562,4.255664,5698.199,-0.9449078,19.28283,18.21623,17.70973,17.50478,17.36356,0.03220349,0.02118563,0.02026305,0.01989157,0.02074508,47.5693469452857,-8.37059954589005,19.27638,18.18044,17.69425,17.48846,17.3507,3585995682357551104,STAR,F9,-3.550538E-05,3185,54829,16,0.564,5651,4.42,-0.32,-2.226369E-05,8.48634E-06
3185,54829,17,3585995957235458048,1237649961380348058,43.83517,5309.477,-1.036216,4.487221,5270.921,-1.119575,19.84061,18.44314,17.8587,17.63694,17.47764,0.03698413,0.01346358,0.02696901,0.02508964,0.02772083,47.7038012440872,-8.38185038633985,19.82547,18.42972,17.84483,17.61735,17.46186,3585995957235458048,STAR,F9,0.0001117726,3185,54829,17,0.692,5285,4.62,-0.71,0.0001218682,7.260175E-06
3185,54829,46,3586003928694759424,1237649961380216958,78.36964,4937.116,-0.29687,4.620227,4771.575,-0.3301961,20.42546,18.05611,17.13696,16.78802,16.61214,0.06218986,0.02726179,0.01357078,0.01861181,0.0141436,47.4316487135234,-8.3040733903374,20.43179,18.06005,17.14091,16.80637,16.60919,3586003928694759424,STAR,K3,0.0002292026,3185,54829,46,1.038,4528,4.251,0.07,0.0002370628,3.184064E-06
1149,53003,249,1293727487943010304,1237648720131916555,-2.89984,6356.757,-1.569445,4.196794,6405.58,-1.548784,20.09178,19.15002,18.88263,18.75201,18.69176,0.03732806,0.01331569,0.06504241,0.02109631,0.03343208,122.762351191751,-0.874894308077285,20.09307,19.14778,18.88655,18.76458,18.68635,1293727487943010304,STAR,F5,-4.639445E-05,1149,53003,249,0,6000,4,-2,-3.4023E-05,2.092755E-05
1149,53003,251,1293728037698824192,1237648720131982035,138.771,6299.736,-1.012658,3.365783,6333.381,-1.012658,20.76786,19.69372,19.37606,19.23568,19.08208,0.05906779,0.01419031,0.01404414,0.04006414,0.04754696,122.902174987057,-0.997403366736578,20.75663,19.67783,19.37777,19.20151,19.06452,1293728037698824192,STAR,F5,0.0003674495,1149,53003,251,0,6000,4,-2,0.0004385399,3.879183E-05
1149,53003,252,1293728312576731136,1237648720131916565,71.51118,6307.877,-0.8793081,3.691444,6337.173,-0.817609,20.17513,19.22549,18.96609,18.79835,18.78081,0.03757497,0.01361734,0.06510465,0.02179475,0.03723296,122.768046705304,-1.00871272828513,20.15178,19.20548,18.93367,18.76174,18.77688,1293728312576731136,STAR,F5,0.0002243847,1149,53003,252,0,6500,4,-1,0.0002141854,1.979987E-05
1149,53003,268,1293732710623242240,1237648720668590808,-6.216743,6279.491,-1.388588,2.295116,6338.833,-1.388588,20.83536,19.77532,19.46808,19.37884,19.35873,0.06726981,0.01809552,0.0188422,0.02076046,0.05719492,122.31955131318,-0.500073840739287,20.84551,19.76549,19.47067,19.37585,19.35881,1293732710623242240,STAR,F5,-4.750391E-05,1149,53003,268,0,6000,4,-2,-4.5087E-05,3.275223E-05
1149,53003,288,1293738208181381120,1237648720131916311,69.0473,6287.44,-0.8767241,2.678259,6321.501,-0.7722534,20.70986,19.49902,19.35392,19.17128,19.07528,0.05601083,0.01468784,0.06554011,0.0246226,0.0467957,122.676993243229,-1.00850363804763,20.6513,19.44349,19.25182,19.09009,19.00864,1293738208181381120,STAR,F5,0.0002024474,1149,53003,288,0,6500,4,-1,0.0002059668,2.950109E-05
1149,53003,291,1293739032815101952,1237648720131916480,140.7334,6648.995,-0.8418331,3.952521,6694.467,-0.8281823,20.36602,19.2611,19.06377,18.92882,18.9281,0.04309661,0.01374722,0.06519457,0.02184397,0.03984668,122.732891318753,-0.860884274469393,20.39347,19.25978,19.0579,18.93445,18.92111,1293739032815101952,STAR,F5,0.0004454873,1149,53003,291,0,6500,4,-1,0.0004450858,1.732193E-05
1149,53003,294,1293739857448822784,1237648720131916383,114.0971,6397.335,-0.6230021,3.590171,6466.108,-0.6482158,20.40323,19.28248,19.07674,18.89421,18.82276,0.04576547,0.01384044,0.06520812,0.02169521,0.03813593,122.697501309712,-0.928443830987707,20.36395,19.24931,19.00629,18.84425,18.76972,1293739857448822784,STAR,F5,0.0003470868,1149,53003,294,0.378,6061,3.58,-1.07,0.0003562367,2.152378E-05
1149,53003,306,1293743155983706112,1237648720668525242,-58.49384,6062.026,-2.751745,3.167668,5918.161,-2.751745,20.38366,19.46507,19.14832,19.01324,18.91091,0.0499925,0.01615271,0.0154866,0.01707195,0.04302058,122.125746069519,-0.54257628130633,20.38835,19.4592,19.15193,19.01303,18.91845,1293743155983706112,STAR,A0,-0.0002297969,1149,53003,306,0,6000,2,-2.5,-0.0002194646,3.434906E-05
1149,53003,312,1293744805251147776,1237648720668524828,61.55938,6501.148,-0.5579492,3.891611,6507.321,-0.5448014,17.2651,16.21236,15.95827,15.87148,15.89995,0.01652683,0.01215622,0.01012792,0.01010088,0.01784833,122.154831401825,-0.506704984885537,17.26762,16.20488,15.95474,15.87346,15.89173,1293744805251147776,STAR,F5,0.0001818462,1149,53003,312,0,6500,4,-1,0.0001809898,5.18442E-06
1149,53003,318,1293746454518589440,1237648720668524884,86.45618,6279.638,-0.9015057,3.582163,6268.541,-0.9015057,20.42843,19.38857,19.11843,19.00422,18.92998,0.05220042,0.01580179,0.01538805,0.0169741,0.04416465,122.173228664036,-0.434331002120471,20.44613,19.38715,19.12548,19.00814,18.93339,1293746454518589440,STAR,F5,0.0002211291,1149,53003,318,0,6500,4,-1,0.0002640366,2.44263E-05
1149,53003,262,1293731061355800576,1237648721205527079,98.15843,6638.356,-0.7241327,3.93567,6666.605,-0.7796962,20.26287,19.19909,18.9581,18.88182,18.80906,0.04531724,0.01629085,0.01315101,0.01886352,0.04270906,122.375726458754,-0.132676267240845,20.27545,19.18826,18.95897,18.87453,18.81878,1293731061355800576,STAR,F5,0.0002992292,1149,53003,262,0,6500,4,-1,0.0003030711,1.851031E-05
1149,53003,263,1293731336233707520,1237648721205526798,93.14655,6236.973,-0.7627828,3.902238,6377.56,-0.7627828,20.98733,19.9882,19.60049,19.44869,19.33302,0.0771211,0.0249019,0.07431946,0.03026738,0.06965635,122.44213194588,-0.0779297424867464,21.01916,19.98652,19.59151,19.44653,19.31318,1293731336233707520,STAR,G2,0.0003049552,1149,53003,263,0.486,5790,3.7,-0.65,0.0002863533,2.537296E-05
1149,53003,270,1293733260379056128,1237648720668721180,63.31019,6066.85,-0.6699027,3.567079,5928.589,-0.564767,20.98666,19.78479,19.40847,19.21016,19.36366,0.09177332,0.2561815,0.6390847,0.4582123,0.8508011,122.503179161117,-0.531371970501448,20.97878,19.77405,19.41113,19.21515,19.39598,1293733260379056128,STAR,G2,0.0001752386,1149,53003,270,0.518,6038,4.37,-0.08,0.0001868299,1.958472E-05
1149,53003,271,1293733535256963072,1237648720668721802,60.59544,6264.589,-0.7993841,3.503631,6288.266,-0.8090377,19.33768,18.21251,17.89539,17.7775,17.76444,0.02524517,0.01240484,0.0128798,0.01436131,0.01984149,122.518040117136,-0.481121480513818,19.34401,18.20991,17.89875,17.78703,17.76436,1293733535256963072,STAR,F5,0.0001751488,1149,53003,271,0,6000,4,-1.5,0.0001777744,8.999259E-06
1149,53003,276,1293734909646497792,1237648721205592695,108.9887,6536.341,-0.6819897,3.568303,6584.187,-0.7025647,20.52453,19.43118,19.12563,19.07766,18.99187,0.04994913,0.01389814,0.01283108,0.01828011,0.04556261,122.539286607248,-0.0883021097396133,20.52143,19.42661,19.12251,19.07189,18.98445,1293734909646497792,STAR,F5,0.0003110275,1149,53003,276,0.287,7134,3.863,-0.07,0.0003391968,2.21433E-05
1149,53003,277,1293735184524404736,1237648721205527412,98.19255,6320.686,-0.7071707,3.379285,6359.249,-0.6950335,20.69281,19.53125,19.23263,19.0731,19.06776,0.05763292,0.01674674,0.01617533,0.02207967,0.05047393,122.499988168527,-0.208547077448352,20.70049,19.52467,19.22858,19.07883,19.04856,1293735184524404736,STAR,F5,0.0002737829,1149,53003,277,0,6000,4,-1.5,0.0003031849,2.081565E-05
1149,53003,302,1293742056472078336,1237648721205395997,360.4641,6278.152,-2.306943,2.770483,6181.887,-3.117305,20.54989,19.73527,19.50205,19.40288,19.36907,0.0557248,0.01683609,0.01782068,0.02143932,0.06020583,122.090807855911,-0.14781055650144,20.55274,19.73745,19.51447,19.41076,19.37198,1293742056472078336,STAR,A0,0.000986901,1149,53003,302,0.359,5880,4,-2.35,0.001178029,4.97969E-05
