plate,mjd,fiberid,specobjid,bestobjid,elodiervfinal,teffadop,fehadop,loggadop,teffspec,fehspec,psfmag_g,psfmag_r,psfmag_i,psfmagErr_g,psfmagErr_r,psfmagErr_i,ra,dec,u,g,r,i,z,specobjid1,class,subclass,z1,plate1,mjd1,fiberid1,elodieBV,elodieTEff,elodieLogG,elodieFeH,elodieZ,elodieZErr
2946,54506,42,3316912746028623872,1237651496826831313,4.380732,4426.633,-0.1580546,3.948376,4427.001,-0.1580546,17.77317,16.60156,16.11642,0.02755841,0.0182076,0.01668422,111.853287085515,36.486846609758,20.39371,17.77273,16.57726,16.13093,15.89328,3316912746028623872,STAR,K5,-1.238832E-05,2946,54506,42,1.176,4246,4.24,0,-9.73763E-06,2.667784E-06
2946,54506,46,3316913845540251648,1237651496826699991,-32.539,5259.93,-0.7103192,4.517869,5233.14,-0.6582408,17.49972,16.87202,16.63587,0.01490041,0.01344963,0.01546267,111.668328809551,36.2693774534806,19.04154,17.49213,16.8626,16.62432,16.51396,3316913845540251648,STAR,K1,-0.0001337554,2946,54506,46,0.786,5221,4.5,-0.24,-0.0001328886,6.061057E-06
2946,54506,50,3316914945051879424,1237651496826765813,57.74725,4941.246,-0.3283356,4.491525,4916.299,-0.3283356,18.90905,18.09985,17.83559,0.01801137,0.01298457,0.01820631,111.782378443454,36.3654125261126,20.98807,18.91713,18.09297,17.81254,17.65638,3316914945051879424,STAR,K3,0.0001597963,2946,54506,50,0.871,4955,4.47,-0.23,0.0001682739,4.903918E-06
2946,54506,53,3316915769685600256,1237651496826765630,38.67688,5337.463,-0.6993973,4.191845,5365.79,-0.6932222,17.47186,16.84012,16.59243,0.01647596,0.01202946,0.01742313,111.699826842627,36.4243002815611,18.85961,17.46783,16.84777,16.57637,16.44869,3316915769685600256,STAR,F9,8.245502E-05,2946,54506,53,0.717,5426,4.5,-0.04,0.000104662,4.098666E-06
2946,54506,55,3316916319441414144,1237651496826896686,13.37583,4418.942,-0.2148055,3.968605,4423.771,-0.2148055,17.71421,16.57539,16.15737,0.02534524,0.02697399,0.02906847,111.786485396208,36.6355907796245,20.35219,17.69332,16.48603,16.07621,15.9045,3316916319441414144,STAR,K7,1.818865E-05,2946,54506,55,1.176,4246,4.24,0,2.026679E-05,2.571635E-06
2946,54506,57,3316916869197228032,1237651496826962416,3.482041,5197.206,-0.3601915,4.439518,5201.896,-0.3601915,19.12843,18.38242,18.11336,0.01967565,0.01249549,0.01411826,111.881264676335,36.7886593454769,20.76053,19.12153,18.38305,18.11158,17.97233,3316916869197228032,STAR,K1,-2.518921E-05,2946,54506,57,0.819,5169,4.43,-0.17,-1.273534E-05,6.800386E-06
2946,54506,59,3316917418953041920,1237651274026123668,274.9913,6392.158,-2.073131,3.72738,6408.199,-1.948568,18.22044,17.93878,17.80931,0.01583888,0.01776686,0.01036947,111.812341363994,36.8128212453245,19.1012,18.21252,17.92827,17.81699,17.7732,3316917418953041920,STAR,A0,0.0008320232,2946,54506,59,0,6500,4,-2,0.0008929219,1.271989E-05
2946,54506,61,3316917968708855808,1237651274026320134,-2.052659,5432.214,-0.5445908,4.293591,5391.915,-0.5257273,18.53765,17.95065,17.75378,0.01327403,0.01669878,0.02139256,112.101314951709,37.2398905599175,20.13575,18.54245,17.95418,17.74627,17.63216,3316917968708855808,STAR,F9,-4.843669E-05,2946,54506,61,0.717,5426,4.5,-0.04,-3.119711E-05,5.149708E-06
2946,54506,62,3316918243586762752,1237651274026385936,6.488944,4840.798,-0.9652674,3.967023,4831.056,-0.9652674,17.70027,16.90201,16.5552,0.01480073,0.0146836,0.01795656,112.158490792477,37.3497473496358,19.54134,17.70252,16.89924,16.55802,16.32159,3316918243586762752,STAR,K3,-1.187399E-05,2946,54506,62,0.95,4775,4.409,-0.12,-2.705393E-06,3.894181E-06
2946,54506,66,3316919343098390528,1237651274026254523,50.87785,5937.481,-0.181637,3.960912,5914.78,-0.1779773,16.22249,15.79275,15.63653,0.0191887,0.0264872,0.03602807,111.999735955355,37.115854628394,17.49666,16.21221,15.77981,15.61952,15.61564,3316919343098390528,STAR,F9,0.0001288626,2946,54506,66,0.58,5625,4.2,-0.21,0.0001453601,2.938853E-06
2946,54506,67,3316919617976297472,1237651274026254783,30.39258,6650.226,-0.6272264,3.764941,6662.255,-0.6797708,18.45302,18.20452,18.10181,0.03030169,0.03529737,0.03894238,111.957030899388,37.1226964924711,19.56646,18.45475,18.20928,18.10392,18.16251,3316919617976297472,STAR,F5,7.060632E-05,2946,54506,67,0,6500,4,-1,7.702857E-05,1.043615E-05
